#纬度,经度,学校,省份,层次,全国热度排名,类别,类别排名,网址,学校抓取编码
39.99775294,116.3161666,北京大学,北京,普通本科,4,综合类,4,http://gkcx.eol.cn/schoolhtm/schoolTemple/school31.htm,31
39.98953897,116.3637626,北京大学医学部,北京,普通本科,511,医药类,41,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1217.htm,1217
39.97612007,116.3217117,中国人民大学,北京,普通本科,29,政法类,74,http://gkcx.eol.cn/schoolhtm/schoolTemple/school46.htm,46
40.00269505,116.3283168,清华大学,北京,普通本科,6,理工类,1,http://gkcx.eol.cn/schoolhtm/schoolTemple/school140.htm,140
39.95786247,116.3498496,北京交通大学,北京,普通本科,80,理工类,34,http://gkcx.eol.cn/schoolhtm/schoolTemple/school38.htm,38
39.87970243,116.4872447,北京工业大学,北京,普通本科,111,理工类,48,http://gkcx.eol.cn/schoolhtm/schoolTemple/school30.htm,30
39.98991173,116.3563727,北京航空航天大学,北京,普通本科,60,理工类,21,http://gkcx.eol.cn/schoolhtm/schoolTemple/school47.htm,47
39.97912694,116.3447616,北京航空航天大学软件学院,北京,普通本科,2579,理工类,841,http://gkcx.eol.cn/schoolhtm/schoolTemple/school3006.htm,3006
39.96679115,116.3232019,北京理工大学,北京,普通本科,31,理工类,9,http://gkcx.eol.cn/schoolhtm/schoolTemple/school143.htm,143
39.99718353,116.3672949,北京科技大学,北京,普通本科,93,理工类,41,http://gkcx.eol.cn/schoolhtm/schoolTemple/school144.htm,144
39.93461053,116.2147677,北方工业大学,北京,普通本科,385,理工类,155,http://gkcx.eol.cn/schoolhtm/schoolTemple/school561.htm,561
39.94828286,116.3084112,北京化工大学,北京,普通本科,210,理工类,93,http://gkcx.eol.cn/schoolhtm/schoolTemple/school556.htm,556
39.72533215,116.1738288,北京工商大学,北京,普通本科,260,财经类,32,http://gkcx.eol.cn/schoolhtm/schoolTemple/school570.htm,570
39.98001309,116.4371366,北京服装学院,北京,普通本科,527,理工类,188,http://gkcx.eol.cn/schoolhtm/schoolTemple/school567.htm,567
39.96914941,116.3634295,北京邮电大学,北京,普通本科,64,理工类,22,http://gkcx.eol.cn/schoolhtm/schoolTemple/school48.htm,48
39.74985327,116.3356481,北京印刷学院,北京,普通本科,605,理工类,206,http://gkcx.eol.cn/schoolhtm/schoolTemple/school590.htm,590
39.75393235,116.3330091,北京石油化工学院,北京,普通本科,477,理工类,177,http://gkcx.eol.cn/schoolhtm/schoolTemple/school580.htm,580
39.84320777,116.2868074,北京电子科技学院,北京,普通本科,348,理工类,140,http://gkcx.eol.cn/schoolhtm/schoolTemple/school565.htm,565
40.0132763,116.3608227,中国农业大学,北京,普通本科,116,农林类,2,http://gkcx.eol.cn/schoolhtm/schoolTemple/school557.htm,557
40.09992068,116.3150635,北京农学院,北京,普通本科,650,农林类,33,http://gkcx.eol.cn/schoolhtm/schoolTemple/school578.htm,578
40.0095854,116.3511008,北京林业大学,北京,普通本科,189,农林类,7,http://gkcx.eol.cn/schoolhtm/schoolTemple/school43.htm,43
39.91702845,116.4208954,北京协和医学院,北京,普通本科,702,医药类,72,http://gkcx.eol.cn/schoolhtm/schoolTemple/school573.htm,573
39.87091417,116.3595316,首都医科大学,北京,普通本科,299,医药类,11,http://gkcx.eol.cn/schoolhtm/schoolTemple/school584.htm,584
